idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1770,2.2820486,1.4597486,1.2193886,0.7955686,-0.0254014,-1.1857614,-0.0908914,0.3555786,1.4718086,2.0129986,3.7147986,5.1783186,5.2172386,5.6917086,2.8231986,1.0587186,0.4864886,1.5977786,1.5896686,2.4815586,3.7201586,4.4364586,3.5875286,2.1306986,1.7934486,1.1003586,0.3417386,-0.3563214,-0.9261214,-0.3637614,0.1469386,-0.2664614,-0.4106614,-1.3556314,-1.7747814,-2.4281114,-2.8651114,-1.9184714,-0.8891714,-0.5454614,0.1545986,1.7302986,0.8176486,-0.7928214,-0.9482514,-0.6966614,-0.2934714,-2.2811314,-1.8950314,-1.0970114,-1.9430514,-3.0824114,-2.2798214,0.6197286,0.2058586,-0.0732614,1.5844486,4.4877286,3.9061786,1.2511086,2.3709086,1.2956686,-0.2202414,-0.6207614,-0.9922314,-2.2568714,-3.9875214,-1.4214114,-0.9832514,-1.0552014,-0.2592814,0.8007886,3.1749286,2.0344686,1.9841786,0.8231886,0.3266386,1.1065786,-0.2285714,-0.4206314,0.6280386,0.7772886,0.5362386,-0.8804014,-1.3820014,-1.4137514,-3.1084314,-3.0320714,-2.5303014,-1.6982614,-0.6219614,-2.4597014,-2.2502214,-1.9712314,-2.9465014,-3.2340614,-5.1029014,-4.5159614,-3.6199614,-3.3117114
159,-3.10782796,-2.10457396,-1.08764796,-1.37052596,-1.64071196,-1.44963196,-1.73674196,-2.62606196,-3.49454996,-3.28784596,-2.73934196,-2.73055596,-2.63712996,-2.71297596,-3.07234996,-3.40795796,-4.01700796,-4.16739996,-4.50008196,-4.68204796,-4.29988796,-3.65535796,-3.32007196,-3.29598196,-3.43075196,-3.23608996,-2.89982396,-3.11336396,-3.45516196,-3.65307796,-3.29012196,-3.33634396,-3.77905396,-3.83113996,-3.35816196,-3.05477396,-2.98152996,-2.16349796,-1.94995596,-2.08797396,-2.15925996,-2.61661996,-2.96037396,-3.50041196,-3.22990596,-1.73088196,-0.31649196,1.36775404,2.72355004,3.79418404,4.38858804,3.22973604,2.45401404,2.18220804,1.37036004,0.41658204,-0.04663396,0.06957604,-0.23836396,-0.32365196,0.05265004,0.62882204,0.36514804,0.32576404,0.35766204,-0.34123396,-1.17098596,-1.70027996,-1.09708796,0.31013804,1.27238004,1.68579004,2.28442404,2.95596804,3.89770804,4.67148804,4.93092804,5.47520804,7.22518804,8.80720804,9.51650804,7.87426804,6.83292804,6.07930804,4.76518804,3.33010404,1.32587204,1.05796604,1.74123404,3.05666604,3.29005604,3.84984804,4.24860804,4.29252804,3.88825204,2.74503204,1.95141404,1.57413204,1.71280604,1.82153004
382,-0.0244074,0.0426526,0.0498126,0.0574226,0.0595026,0.0599826,0.0622926,0.0735026,0.0813126,0.0827826,0.0269926,0.0030826,0.0030826,-0.0094474,-0.0171274,-0.0203574,0.0390226,0.0626426,0.0616826,0.0719026,0.0170626,-0.0083174,-0.0106274,-0.0093074,-0.0106274,-0.0070674,-0.0062374,-0.0830174,-0.1134774,-0.1774774,-0.2030074,-0.2020174,-0.1370574,-0.0306074,-0.0163074,0.0425826,0.0611626,0.0567826,0.0476826,0.0437826,0.0209626,-0.0754074,-0.1067774,-0.1122974,-0.1066174,-0.1084574,-0.0710174,0.0281226,0.0678326,0.0754526,0.0778826,0.0813126,0.0782326,0.0751626,0.0347826,-0.0598074,-0.0952574,-0.0985274,-0.1017574,-0.0992874,-0.0602274,0.0356126,0.0720926,0.0228926,0.0036926,0.0069926,0.0102226,0.0089426,0.0079826,0.0501226,0.0749726,0.0756426,0.0701326,0.0704226,0.0680226,0.0050526,-0.0452574,-0.0532774,-0.0545574,-0.0634974,-0.0680374,-0.0024374,0.0475126,0.0464926,0.0489426,0.0382326,0.0369326,0.0365726,0.0333426,-0.0302674,-0.0571174,-0.0571174,-0.0594274,-0.0501974,-0.0435074,0.0281126,0.0561426,0.0768126,0.0552826,0.0329826
1605,-0.36768777,-0.45394777,-0.79004777,-1.09441277,-0.23015277,0.23127723,-0.17155277,-0.22445277,0.27603223,0.82941723,0.03270723,-0.82992277,-0.89584277,-0.82015777,-1.14323627,-1.47770977,-1.48096527,-1.54851077,-1.54851077,-1.56722827,-1.35726927,-1.19288127,-1.25716977,-1.25716977,-1.25716977,-1.31413577,-1.80892727,-1.53874277,-0.26921277,0.29230723,0.29230723,0.29230723,0.67235223,0.51528723,-0.40918777,-0.79655277,-0.79655277,-0.37012277,-0.12272777,-0.35221777,-0.57682777,-0.39128277,0.30858723,0.86929723,1.25829223,1.36164223,1.35106223,1.45278723,1.90363723,2.33658223,2.51398723,2.82079223,3.46695223,4.13752223,4.26447723,4.12938723,4.06265223,4.17577223,4.14078223,3.66389223,2.79312223,1.89549723,0.99787223,0.74315223,0.61213223,0.01398723,0.05874723,0.15396223,0.07095223,-0.46045777,-0.43197277,0.35334723,0.12548223,-0.35710277,-0.50358777,-0.56218277,-0.84701277,-0.78272277,-0.43360277,-0.43360277,-0.43360277,-0.43360277,-0.08854777,-0.20247777,-0.66146277,-0.66146277,-0.66146277,-0.66146277,-1.34017527,-2.13282027,-2.24675277,-2.24675277,-2.24675277,-2.24675277,-2.24675277,-2.03109527,-1.44434527,-1.07325277,-1.07325277,-0.81283277
2664,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14,6.39E-14
632,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15,-8.88E-15
1237,1.4174874,7.7605474,9.3217474,9.0694874,7.0161274,5.0942474,1.6026674,-7.3771726,-13.6238926,-14.6196126,-12.6690926,-9.3875526,-3.8989326,5.0005074,6.4799674,-1.9510526,-8.3673926,-10.5405726,-11.4506926,-10.9549126,-6.0395926,5.3614674,15.0773074,18.4578074,18.2006674,18.0558474,18.1052874,16.4539074,11.7749074,7.6613074,8.3543474,9.2312874,8.6303474,7.9799474,7.8778074,4.2189074,-2.3481726,-3.6450526,-3.0802526,-2.3582726,-0.1981726,4.9757074,8.9952274,9.1921874,9.6118074,9.8188474,9.1824274,9.4405474,8.7214674,1.4340274,-4.3175726,-4.7843526,-4.1818126,-2.9744526,0.8731674,9.6101674,16.1000674,15.7118474,9.6980874,2.4959074,0.2169674,-0.4021526,-4.6047926,-12.4140326,-12.9962726,-6.9100126,-5.3917526,-5.9705726,-2.6703126,2.6098474,0.5753274,-6.3240926,-8.6863726,-7.8526926,-7.9920326,-8.6225726,-8.6053126,-7.2713526,-5.7726326,-6.4038126,-6.2384526,-2.0229326,6.6655474,12.5935874,13.8188274,13.9702074,11.4901874,3.5766474,-5.3712926,-9.7140726,-10.5015126,-13.4204326,-19.6077126,-19.9025126,-14.3575726,-10.7413726,-11.5672526,-13.2889326,-13.9663326,-11.2228326
2164,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14,-1.60E-14
192,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14,1.42E-14
2997,0.525411,5.904611,18.739911,18.761111,16.659911,10.149411,9.045911,9.623711,9.687211,1.371811,3.215811,10.289411,13.300511,8.946611,1.298511,8.972711,9.353511,-0.482089,6.484111,11.008811,18.072611,12.330411,9.578111,13.933611,1.329411,-3.880489,-3.177389,3.598311,4.404011,-5.036089,5.199911,1.952811,-1.273089,-11.338189,-9.422489,5.704411,-1.354489,5.370811,1.884511,11.830711,2.524111,2.428111,-0.249289,-7.371689,-1.033789,-1.740189,7.358111,-3.185489,8.346111,11.327811,7.664111,-0.711589,-1.321889,8.733411,3.191411,6.687511,7.703111,8.473011,-1.330089,-3.092789,-9.575489,-13.940689,-13.756789,-18.231089,-12.483489,-15.136489,-3.136089,-7.419989,-5.584089,-4.376389,-11.237289,-16.533489,-18.999289,-15.993089,-23.283189,-17.186189,-13.385689,-5.661089,-4.673189,-0.486989,6.337611,6.791711,-0.833589,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-3.834089,-6.834589
1429,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14,1.95E-14
1864,-2.541838,-4.190338,-4.291788,-2.944138,-1.417488,0.501462,0.721212,-0.913188,-1.230038,-2.042188,-2.553238,-1.508338,-0.294988,0.836212,1.893362,3.004212,2.729162,0.938762,-0.514688,-1.186038,-1.142138,-1.208888,-0.076888,1.145412,1.217862,0.503362,-0.459388,-0.966388,-2.149638,-2.906488,-2.687588,-0.509838,-0.015838,-0.071988,0.741812,-0.398338,0.183512,0.102162,0.375612,1.401812,1.738712,3.148212,3.927062,4.550412,4.739212,3.401362,1.650862,1.552362,1.239862,-0.556188,-0.869488,-0.019888,0.784962,1.045362,1.292712,1.343212,-0.201338,0.039512,1.440062,0.916812,-0.733588,-2.023488,-2.127688,-2.235888,-3.410188,-3.955188,-3.412938,-2.197938,-1.001638,-0.854338,-0.151188,0.738862,2.235162,3.324812,3.599862,4.136162,2.975712,1.781062,1.217362,2.373212,1.755512,0.286612,1.246912,2.688962,2.616262,-0.121638,0.245362,0.546462,-1.194238,-2.681038,-3.446838,-2.969138,-2.789288,-1.758988,-1.824888,-2.326238,-2.144788,-0.729538,1.278112,1.806262
