idx,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
2704,-1.875408,-1.164208,-0.607508,0.075992,-0.509908,-0.352008,-0.677508,0.329992,0.243692,-0.072108,0.505692,0.756392,0.847492,-0.210408,-0.319508,-0.435008,0.671792,0.614792,0.451992,1.509992,0.906092,1.104692,0.092292,-0.015108,0.079292,-1.149508,-0.760508,-0.815908,0.149292,-0.828908,-0.941208,-0.752408,-0.278808,-0.283608,-1.286308,0.746592,0.740092,-0.140408,-0.594508,-0.685708,-0.750808,-1.507608,-1.284608,-0.387808,-0.264108,-0.161608,-0.726408,0.046792,0.040192,-0.156708,0.805192,0.867092,1.588092,0.603392,1.044492,1.241392,0.124892,-0.120908,-0.791508,-0.767008,-1.284608,-0.260908,-0.278808,-0.133908,1.495292,1.233292,1.078692,1.070492,1.189292,1.345592,-0.257608,-0.216908,0.927292,-1.781108,-1.074708,-0.915208,-0.309708,-0.539208,-0.550608,1.278892,0.414592,1.200692,1.448092,1.910392,1.010292,1.033092,1.002192,0.058092,0.224192,0.159092,-0.632008,-0.942808,-0.661308,0.211092,-1.619908,-1.580908,0.079292,0.201392,-0.057408,0.014192
1621,0.088224045,0.166349045,0.244474045,0.244474045,0.160652545,0.076831045,0.076831045,-0.001293955,-0.079418955,-0.079418955,-0.079418955,-0.006990455,0.065438045,0.065438045,0.163908045,0.262378045,0.262378045,0.189949545,0.241219045,0.364917045,0.266447045,0.167977045,0.167977045,0.167977045,0.044279045,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.026521955,0.026375045,0.026375045,0.026375045,0.084969045,0.143563045,0.090666045,0.037769045,0.037769045,0.037769045,0.040210045,0.042651045,0.042651045,0.042651045,0.042651045,0.042651045,-0.018383955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.025707955,0.028003045,0.028003045,0.028003045,0.028003045,0.028003045,-0.025707955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955,-0.079418955
2025,11.862839,11.867639,-4.466961,-2.940261,-3.369961,-2.961461,-1.265461,-17.538261,-1.185761,-4.429561,-5.686061,-5.746261,-5.713661,10.454939,8.742639,12.147639,11.779739,11.892139,10.235139,10.210739,11.921339,-4.437661,-5.487461,-8.755661,-7.246861,-7.080861,-8.360161,5.308439,7.390139,10.187939,7.570839,7.591939,8.832239,8.558739,9.403439,7.587039,10.189639,8.111139,-8.200661,-21.595861,-21.654461,-35.681161,-35.679561,-33.667761,-17.326661,-1.201961,-4.621561,11.102739,11.097839,9.270039,7.767739,6.327339,7.945139,7.250139,5.710439,7.603339,7.320139,7.471539,9.436039,9.232539,9.678539,9.569539,9.483239,9.167439,-7.196461,-22.022261,-20.826061,-22.009261,-20.173361,-18.412261,-3.783361,10.769039,10.723439,10.733239,-5.572061,-21.853061,-22.454161,-22.718361,-23.623361,-22.496461,-6.871461,9.586839,10.345839,12.239339,13.088939,11.551939,12.258339,12.043439,13.239739,13.047639,12.811739,12.787239,12.753139,-3.490361,-3.057461,-4.326961,-4.221161,-2.390161,-3.920061,12.460139
2606,9.070856254,8.479046254,7.585502254,4.792856254,1.879120254,0.512586254,0.347548254,0.975152254,1.145400254,1.068578254,1.305556254,1.446504254,1.112522254,0.420788254,0.189018254,1.048068254,1.483614254,1.580942254,1.773976254,1.688694254,1.872284254,1.688038254,1.342334254,1.473194254,1.301970254,1.440970254,1.459200254,1.049366254,0.799690254,0.396046254,0.071828254,-0.326282946,-0.489042546,-0.720487946,-0.605579346,-0.478300746,-0.433052946,-0.282337746,-0.435983346,-0.514433346,-0.769967146,-0.892362946,-0.934355546,-1.085071946,-1.026152146,-1.010852746,-0.975045346,-0.999134146,-0.983508946,-0.939237746,-1.057402346,-0.992623946,-0.975045546,-1.027128746,-1.093534946,-1.137805746,-1.137805746,-1.281360546,-1.377063746,-1.294056146,-1.238717746,-1.156686346,-0.946725346,-0.755318746,-0.696724746,-0.779732946,-0.764758946,-0.736438746,-0.904082146,-1.095488146,-1.154081746,-1.154081746,-1.115996146,-1.089628946,-1.088977746,-1.088977746,-1.016711946,-0.968534746,-1.012480546,-1.106230346,-1.149198746,-1.149198746,-1.154081546,-1.005969946,-0.838652546,-0.794381746,-0.714303346,-0.577910146,-0.261830946,-0.239371746,-0.390086146,-0.423287746,-0.503365546,-0.564563346,-0.897896746,-0.966256146,-0.947050346,-1.001086746,-1.001086746,-1.076282346
2955,-9.2081666,-8.5887266,-11.3641266,-14.0701666,-20.9142866,-28.7206066,-30.1844466,-28.7609466,-26.4298866,-22.5474066,-14.2449866,-5.8071266,-3.7654666,-3.2594066,0.1606134,-0.2354666,-1.2873466,-2.4064866,-7.0410066,-14.3520866,-27.5159666,-35.4912266,-44.8184266,-49.1077266,-42.3580266,-34.6942266,-21.5513266,-5.5975266,9.6954734,15.3545734,16.2790734,16.4646734,13.7025734,1.5183734,-1.7352266,-1.8996266,-2.6157266,-1.6473266,0.7777734,11.0023734,14.2966734,13.9125734,13.6228734,13.3445734,13.6895734,15.0209734,15.0241734,14.0638734,14.1338734,14.4675734,8.1068734,-4.2547266,-5.9149266,-4.0838266,-3.2896266,-3.8153266,3.0840734,15.5678734,17.2035734,17.4135734,17.1970734,17.8578734,17.0163734,5.4766734,4.3454734,4.3747734,3.8295734,3.7139734,4.1078734,14.7881734,15.3252734,6.5378734,-8.0666266,-10.8058266,-10.2785266,-9.9448266,-9.0724266,-0.3013266,14.7621734,17.3207734,5.7094734,-2.5132266,-2.3032266,-2.0217266,-1.5220266,-1.6587266,9.7833734,18.2387734,17.7976734,18.1247734,17.9913734,18.2094734,15.4880734,5.5336734,4.8093734,4.1794734,4.0118734,4.1843734,6.6208734,16.8226734
2006,-1.160263,-2.670763,-0.872163,-0.711663,-3.014663,-0.995863,-1.327963,0.161337,-2.789563,-4.724263,-0.801663,-2.755363,-0.889063,-2.367463,-0.251563,-0.022063,-0.946563,0.235637,-1.874863,-0.220663,-2.690263,-2.768963,-1.906263,-2.849763,-1.163563,-3.171463,-1.883463,-0.242863,-2.016463,-0.496763,-1.847663,-0.380163,-0.175063,-0.107763,1.299537,-0.801663,-0.324763,-1.527563,0.046337,-2.132563,-2.272463,-1.447863,-0.419163,1.197037,1.758537,3.960137,3.825637,3.373637,1.670637,1.701537,-0.116963,-0.462063,-2.023463,-0.456063,1.299037,-0.873863,-0.422463,-0.051363,0.529737,-1.358363,-1.040963,1.299537,1.372837,0.892637,0.588237,2.762737,0.780337,0.734737,-0.217363,0.126037,2.287537,1.027737,2.796937,2.678137,4.753337,4.665437,2.380237,1.860537,1.793837,-0.099063,-0.074663,-1.511363,0.331137,0.561137,0.137937,1.492137,-0.381763,0.957237,-0.427363,-0.479463,-0.254763,-0.044863,-0.118663,0.128737,1.609337,2.290737,1.953837,1.786737,2.334737,1.994537
375,-0.0037503,-0.0003203,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,-0.0011603,-0.0021503,-0.0021503,-0.0021503,-0.0021503,-0.0021503,0.0001597,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,-0.0022803,-0.0037503,-0.0037503,-0.0037503,-0.0037503,-0.0037503,-0.0003203,0.0011497,-0.0011603,-0.0021503,-0.0021503,-0.0021503,-0.0021503,-0.0021503,0.0001597,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,-0.0011603,-0.0021503,-0.0021503,-0.0021503,-0.0021503,-0.0021503,0.0001597,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,0.0011497,-0.0011603,-0.0021503,-0.0021503,-0.0021503,-0.0021503,-0.0021503,0.0001597,0.0011497,0.0011497
1310,-4.63238635,-6.04254475,-6.04254475,-6.04254475,-4.36871515,-1.08605475,0.07181925,0.07181925,0.07181925,0.07181925,-0.46832875,-1.97386275,-3.01683075,-3.01683075,-3.01683075,-0.13533075,3.05325125,1.22340925,1.02939925,1.02939925,3.35556725,4.88127925,1.93596925,3.95678925,7.61129925,8.54621925,6.22004325,1.81281125,2.16764325,2.74447525,-0.91005475,-1.79221875,-1.71312075,0.24651525,1.97156125,0.14994925,0.14994925,0.09721325,0.08060925,-1.78527675,-5.24209075,-4.34625475,-1.46430875,-0.90311075,-0.96561075,-1.05936075,0.97123125,3.09915525,1.34807725,0.78687925,0.78687925,0.78687925,-0.44098475,-1.61155675,-0.60472075,-0.60472075,-0.22972075,0.33277925,-0.46995275,-3.09918275,-4.32715675,-2.89659875,-3.12251275,-3.60982075,-3.26151275,0.09297725,3.43129925,2.00074725,1.85166125,1.77646925,1.42816125,-1.55328595,-5.02822255,-4.58941875,-3.80621275,-1.27127475,1.16882925,0.79578125,1.49141725,4.52526525,5.64633925,3.11139925,2.49291925,5.22531925,3.75658325,0.50530325,-0.05828075,1.45473925,-0.36687275,-3.09929075,-3.09929075,-1.35189475,1.87314725,2.77906925,2.77906925,2.77906925,2.77906925,0.81032125,-3.11024875,-3.58052075
863,-2.305771,-5.162171,0.122629,-0.754671,-0.085671,-1.159971,-1.192471,-1.659571,-1.768671,0.619029,4.624529,1.991129,-6.680771,-11.415471,-7.712671,-8.018671,-5.538171,-4.642971,2.621029,9.359229,3.342029,2.129429,0.692329,0.923429,-0.227271,-1.539171,1.686729,-0.017371,1.320529,4.354429,3.711529,0.576729,-1.221771,1.452329,0.096629,-2.545071,-0.497471,-0.866971,-6.342271,-7.992571,-6.220171,-6.729571,-7.169071,-7.681771,-6.986771,-4.013171,-3.957771,-3.038171,-5.800271,-5.067771,1.011329,0.913629,0.827329,-2.984471,-3.056071,-3.728271,-2.063271,-3.086971,-1.693771,4.325129,4.886629,8.107629,4.157429,4.028829,1.956929,0.174729,1.703029,3.700129,5.112829,4.841029,6.991129,4.456929,4.881729,0.755729,-2.260171,0.109629,-1.900471,2.383329,-2.414771,-4.074971,1.618429,3.973529,3.774929,1.919529,5.684129,8.141829,3.748929,0.545829,-0.766071,-1.854871,1.984629,3.993029,0.988529,-1.640071,1.755129,2.826029,1.471929,4.517129,8.565029,7.079029
1052,-3.484300781,-3.584235581,-3.599697981,-3.592862081,-3.395759181,-3.189379981,-2.982833281,-2.373301281,-2.072027281,-2.057540281,-2.255132281,-2.558192281,-2.772547281,-2.672778281,-2.778079281,-2.137943281,-1.754807281,-1.446378281,-0.655685281,1.850174719,4.867259719,5.355702719,5.272043719,5.089100719,4.737543719,2.239655719,-0.320403281,-0.917246281,-0.712161281,-0.524015281,-1.257576281,-1.578375281,-1.562262281,-1.519454281,-1.840419281,-1.106044281,-0.469650281,-0.067145281,0.479079719,0.646887719,0.638746719,-0.281991281,-0.420663281,-0.918382281,-2.090906281,-2.953380281,-2.046636281,-1.949957281,-2.465583281,-2.802495281,-2.941978281,-2.954022281,-3.718674881,-3.906175981,-3.737392881,-3.308682381,-3.153409281,-2.675380281,-2.718842281,-2.339767281,0.362217719,4.609770719,6.617732719,10.81450772,12.98557772,14.62587772,13.21796772,9.491437719,8.296917719,4.294019719,2.635982719,1.101144719,0.941315719,0.327063719,-0.168866281,-0.548915281,-1.217212281,-0.784919281,-1.181729281,-0.446862281,0.620351719,0.837642719,1.063554719,0.287505719,0.109285719,-0.600833281,-1.538501281,-1.223885281,-0.624596281,0.497469719,0.262282719,0.151282719,-0.427985281,-0.777104281,-0.855723281,-1.921474281,-2.115488281,-1.603932281,-0.583746281,-0.082774281
1248,-4.6597808,-2.0474808,5.2751392,13.4395592,12.5762792,3.0779192,-2.1102608,-2.5451808,-2.4559608,-3.1338808,-5.2523608,-4.0662008,-1.7198808,-2.3569008,-9.0466808,-14.7105208,-10.3321808,-8.5060208,-14.8019008,-17.1765408,-11.0151208,-5.8478208,-9.4592408,-12.3459608,-7.6102808,-3.7164008,-3.8482608,-5.5059008,-7.3841408,-3.7992008,-0.8633208,-1.9629208,-0.6953208,4.1250592,13.3796192,19.9457192,21.2438792,21.9235592,21.5983592,20.9740192,20.6859592,18.2928592,10.3777992,2.4617792,0.5812392,0.6681992,0.2684392,1.2269792,3.4851392,1.2722192,-2.0875208,-1.7333408,-2.8315408,-9.0753608,-12.7123808,-6.6947808,-1.9350208,-1.8211208,-2.8270608,-4.5360408,-2.3648408,-0.1997808,-0.9667208,-1.6952008,1.1257792,9.5251592,15.7165192,14.5317392,6.6639192,-1.0860408,-3.7279608,-4.1267208,-4.2781208,-1.3589808,7.3916792,14.9902992,16.7103592,17.0885992,18.1393792,17.2582192,11.1426592,2.0544192,-1.5581808,-1.8775208,-7.9546808,-16.6102408,-15.1229408,-6.3768608,-3.1571008,-5.7681008,-8.4321608,-7.8840008,-8.1971608,-9.8488608,-9.2938808,-7.0685808,-4.8058608,-5.2446608,-3.9940208,-0.9894808
2352,-1.091819,11.636081,15.197181,15.599281,12.890881,1.025681,0.561781,-1.244819,-3.541419,-3.289119,-1.272519,10.299781,9.881481,10.781581,-2.546919,-15.748419,-17.161119,-17.735719,-17.333719,-17.991219,-3.655319,8.888681,10.729481,11.295881,11.709281,12.054281,12.586581,12.274081,11.606781,11.082681,3.311181,-4.125719,-14.106119,-17.330419,-16.943119,-16.420619,-8.956719,-2.130219,7.755781,10.613881,-0.673219,-5.554419,-5.627619,-4.826819,-4.501319,-4.436219,6.538381,10.040681,-3.933319,-5.601619,-6.251019,-5.414419,-5.717119,-4.512419,9.409481,10.755481,10.745781,9.113281,9.534781,9.471281,2.234981,-2.644519,-3.476319,-2.607119,-5.570319,-17.005919,-13.713219,-9.211319,-8.391019,-8.303119,-5.717519,5.830381,9.686181,10.200481,10.182581,1.977781,-4.036119,-4.431719,-4.530919,-4.806019,-4.965519,3.382481,4.398081,-5.320319,-5.746819,-6.788419,-6.407619,-6.987019,-1.274119,9.396481,10.496681,11.831381,4.430981,-1.052419,-1.919919,-2.540119,-2.694719,-3.921919,3.421481,8.877281
1272,4.24069548,11.43663548,20.21823548,23.10885548,19.23321548,9.10787548,-1.52918452,-9.48552452,-9.67208452,-2.11154452,8.33543548,17.91197548,22.34775548,19.54599548,10.99981548,0.69545548,-6.36444452,-8.28848452,-8.55036452,-8.51424452,-8.13272452,-7.63400452,-11.02103652,-14.40470252,-8.33356452,1.50919548,11.81485548,19.42405548,21.76315548,17.49427548,7.24915548,-2.69518452,-11.63822052,-13.53094852,-6.17960452,2.88661548,7.07725548,7.07725548,5.33181548,-0.95886452,-8.39016452,-10.41014452,-4.83580452,2.98007548,5.02943548,4.95815548,2.69903548,-4.34720452,-13.43250052,-20.22885052,-21.97416052,-21.44681452,-21.44681452,-20.83939452,-20.60795252,-21.62748452,-21.78698852,-22.02624452,-20.80098452,-15.98847452,-6.85078452,4.00793548,13.88231548,21.87489548,23.39831548,17.97841548,7.92959548,-2.92912452,-12.99556052,-18.38952852,-12.54578452,-2.29352452,4.48207548,5.96335548,5.96335548,3.07663548,-5.51580452,-12.79542852,-11.40567052,-3.84686452,5.11473548,14.49881548,23.88975548,28.64185548,23.66709548,14.62707548,6.36403548,1.50759548,1.36439548,3.90299548,10.65895548,17.49857548,18.92655548,14.39885548,5.39139548,-4.51160452,-14.20366452,-20.61648252,-22.67566452,-22.67566452